HYPO	PARAPHRASES	MINIMAL UNITS CORPUS
The taste of Kellogg's Frosted Flakes brings out the tiger in you. 	The taste of Kellogg's Frosted Flakes brings out your wildness.	The tiger paid them a visit.
Art is my stairway to heaven.   	Art is my peace of mind.	The priest said that compassion is a stairway to heaven.
No other friendship could be so strong.  	This is a very strong friendship.	No other jurisdiction has been established yet.
It drives me crazy when you only drink half of the soda.   	It annoys me when you only drink half of the soda.	Drugs drive me crazy.
"And there, before you, is barbeque perfection.     "	"And there, before you, is great barbeque."	Classical statues represent an ideal of perfection.
"Come on, I'm a vault of secrecy.     "	"Come on, I can keep secrets."	The vault of the ceiling was painted in yellow.
Seeing my bestfriend again would mean the world to me.    	Seeing my best friend again would mean a lot to me.	So many languages are spoken in the world.
After workout I feel I could lift a sumo wrestler.    	After workout I feel very strong.	This robot can lift a sumo wrestler.
We used to be as little independent as a flock of sheep.  	We used to have very little independence.	They bought the whole flock of sheep.
His mother is very apprehensive and keeps him in a bubble. 	His mother is very apprehensive and is very protective of him.	Many colors reflected in a bubble of foam.
That man corrupts whatsoever he touches.  	That man corrupts almost anything he has contact with.	That man accomplishes whatsoever he promises.
These flowers are absurdly awesome!  	These flowers are really awesome!	These economic strategies seem absurdly short-term.
And it is a tiny mouthful of heaven.   	And it tastes very good.	Many Christians are not focusing on heaven.
I love you with so much of my heart that none is left to protest. 	I love you with all my heart.	I remove all vegetation until none is left to sprout up later.
Over my dead body are you meeting with them.   	I will make it difficult for you to meet him.	Having some grass over my dead body sounds good.
This policy will plunge the country into a chaos. 	This policy will be a problematic one for the country.	The young ladies plunge into the pool.
My hair is poker-straight.   	My hair is very straight.	"In this geometric pattern, the lines are poker straight."
Your body is a wonderland.  	Your body is beautiful.	Carrol invented a wonderland with different logical rules.
"Sometimes, ignorance is bliss.  "	"Sometimes, ignorance is good."	Fulfillment is bliss.
I felt an explosion of flavor in my mouth.   	I tasted a very strong flavour.	The barricade dissolved in an explosion of smoke.
Your speech evokes a thousand sympathies.  	Your speech evokes many sympathies.	My mom earns a thousand dollars a month.
This restaurant sums up the neighbour in all its hipster glory!  	This restaurant sums up the neighborhood which is home to many hipsters!	Peter won glory on the field of battle.
"This blog is my harem, where my innermost secrets are shared. "	"This blog is my personal place, where my innermost secrets are shared."	The male can maintain a distribution of grooming up to a harem size of five females.
He's a monster. 	He's a terrible person.	"In some stories, Cerberus is a three-headed monster."
"It's so dark, a bat couldn't see in this room. "	It's very dark in the room.	"A bat couln't see the pole, so he flew away."
They were laughing to death.  	They were laughing hard.	Her father was sentenced to death.
"You stepped on a land mine, boy. "	"You did something dangerous, boy."	A land mine fell near shifting the two roads.
Daisy was an unattainable woman.   	Daisy was hard to get.	You set unattainable goals.
These are the proofs of the invincible smartness of the human race. 	These are proof of how smart the human race is.	"Had the Romans used our advanced weapons, they would have appeared invincible."
"When everyone went home for holidays, the campus became a ghost town."	"When everyone went home for holidays, the campus became deserted."	"When the last resident left, Masten became a ghost town."
You're being stalked by an emotional vampire.  	You're being stalked by a person who drains your emotions.	Villagers live in terror that they would be bitten by a vampire.
It'd take a miracle to get me into the army. 	It's tough for me to get into the army.	Old religious believe a miracle has happened.
It's time to stop living like a dead man. 	It's time to stop living in such a passive manner.	The glasses are cold like a dead man.
I lost my sense of humor in the before Christ to be precise.	I lost my sense of humor a long time ago.	The lost prince from India began his reign in the before Christ.
Be silent as a ninja. 	Be very silent.	A Ninja complied with no code of honour in combat situations.
"Move, there's no time. "	"Move, we have little time."	"Move, there's no time to explain everything now."
"You've made me the happiest man alive, Rita.   "	"You've made me very happy, Rita."	"If I were the happiest man alive, I'd tell you."
I just got hit by an avalanche of cramps.  	I just got hit by a lot of cramps.	Skiers are about to be hit by an avalanche.
He could swear he saw a wisp of smoke coming out of her ears.   	He saw how angry she was.	
With a word she can get what she came for.  	She can easily get what she came for.	There are differences that they can see but cannot label with a word.
I swear he'd rather die of starvation than even take a whiff of it!  	I swear he'd not take a whiff of it!	People continue to die of starvation.
"That artist is a wordless person, she rarely speaks. "	"That artist is a quiet person, she rarely speaks."	People often make wordless sounds to convey messages.
"Forget knocking it out of the park, Frank can knock a baseball off the continent.  "	"Forget knocking it out of the park, Frank can knock a baseball to a much larger distance."	Frank is ready to fly off the continent.
We must obey my mother's whims! We bow to her power!  	We must obey my mother's whims! We respect her power!	We had to bow to the prince.
This is a must buy! 	This is a very good deal!	"To play the online game, you must buy a license."
"The town I grew up in is so isolated that rock, paper, scissors is considered a high tech game.  "	The town I grew up in was isolated and behind the time.	Pokémon Go is considered a high tech game.
He drank a tanker of milk as if he was a drain. 	He drank a tanker of milk very quickly.	A diesel tanker fell into a drain.
This musician is the god of guitar.   	This musician is an expert at playing guitar.	He didn't like the people or the god of their cult.
I do not breathe without you.    	I do not live well without you.	Those who have severe sleep apnea do not breathe without a mask.
Better be out of the world than out of the fashion.  	Being out of fashion is very bad.	Children were kept out of the world of adult entertainment.
You don't ever listen to me.  	You don't listen to me.	"Please, don't ever harm yourself."
I thought we had a deal but you stabbed me in the back. 	I thought we had a deal but you betrayed me.	Someone stabbed me in the back but missed my heart.
Fabulous new haircut!  	I like your new haircut!	The writer created also another fabulous heroine in the book.
His bark breaks the sound barrier.  	His bark is very loud.	This subsonic airliner breaks the sound barrier.
I broke my ribs laughing.  	I felt my ribs hurt while laughing.	I broke my ribs riding my bike.
My tongue is a piece of sandpaper.  	My tongue is really rough.	Get a piece of sandpaper and rub it across the section of wood.
"And your father and I worked on those plans together, for months and months and months.  "	And your father and I worked on those plans together for a long time.	I've been exercising for lots of months.
He's light like a feather.  	He's light.	It is purple and green like the feather of a peacock.
"I'm quite imperturbable, only UFO can rock me.  "	"I'm quite imperturbable, it's very tough to rock me."	"Of the typical paranormal entities, only UFO are associated with machines."
"When my dog waves, his tail it causes hurricanes."	When my dog waves his tail rotates very fast.	The energy absorbed by the atmosphere causes hurricanes.
The flower of poetry will spring up toward God.  	The poetry will spring up magnificent.	The priest pointed up towards God.
We picked up a bottle once on a trip and were blown away!   	We picked up a bottle once on a trip and were surprised.	Small mammal bone is blown away by wind.
It is unthinkable to love and be wise.  	It is very difficult to love and be wise.	It is unthinkable that a child can solve differential equation.
"Given its advanced technologies, this is more of a spacecraft than a regular car."	"Given its advanced technologies, this car is more a sophisticated piece of machinery than a regular car."	The spacecraft did not reach its intended orbit.
People hang on your every word.  	People really listen to what you say.	Colorful paintings hang on every wall of my bedroom.
He eats a mountain of junk food. 	He eats a lot of junk food.	He emerged upon a mountain top in the clean air.
Haven't seen you in ages.    	Haven't seen you for a long time.	Crystals took ages to form.
I'd love to hang out eight days a week.   	I'd love to hang out every day.	First relief arrives after eight days.
It turns out Crumpet Manor had left Lily into a comatose state of relaxation. 	It turns out Crumpet Manor had left Lily into an intense state of relaxation.	The patient may still be irreversibly comatose.
My bedroom is my sanctuary.   	My bedroom is my private space.	Commercial netting was prohibited within the sanctuary.
I can conquer the world with you by my side.  	I can achieve great things with you by my side.	The Persian king Xerxes wanted to conquer the world.
Imagination is the queen of truth. 	Imagination leads to the truth.	People welcomed the Queen of Denmark.
"Your mom is so fat, I could slap her thigh and ride the wave!  "	Your mom is very fat!	I could ride the wave of popularity.
You can tell the judge how you made it vanish into thin air.  	You can tell the judge how you made it disappear.	"In one night, snow vanished into thin air."
"Starting from today, I'm a brand new person.  "	"Starting from today, I'm acting in a new way."	I just bought a brand new phone.
I would give my possessions for a pot of ale.  	I would really like a pot of ale.	I want to give my possessions to charity.
He walked down the road to nowhere.   	He walked down the road without any destination.	We were directed to nowhere in particular.
"I'm dying of hunger, I would eat a horse.   "	"I am hungry, I could eat a big meal."	"He, who was dying of asphyxiation, gave one final glance at his horse."
"I am sitting here, throned in blue sky like a sphinx.  "	I am sitting here with pride.	"The emperor's statue is here, throned in blue sky like a sphinx.  "
Travel broadens your brain.   	Travel increases your knowledge.	He broadens his influence by traveling to different cities.
Idleness is the root of evil.  	Idleness causes bad behavior.	Human capacity to invent meaning objects is the root of culture.
Finding the piece of paper in this chunk of documents is like looking for a needle in a haystack. 	Finding the piece of paper in this chunk of documents is nearly impossible.	He actually found a needle in a haystack...how ironic!
No one follows the rules in this office. It's a jungle.  	No one follows the rules in this office. There is no discipline.	He caught some virus from a jungle.
"Two years ago, I catapulted myself into the fashion world.   "	"Two years ago, I entered into the fashion world."	Stones were catapulted against the wall of the city.
Why did you beat him to a pulp?   	Why did you beat him so badly?	Mash the avocado to a pulp.
That old soldier is ready for another battle. He's made of iron. 	That old soldier is ready for another battle. He's tough.	The gate of the school is made of iron.
I worked myself to the bone. 	I worked very hard.	The doctor checked the ankle for an injury to the bone.
It's a no brainer. 	It's obvious.	Breathing is a no brainer exercise.
The pictures prove that the poor country has turned into hell.  	The pictures prove that the poor country is in a very bad situation.	Orpheus descended into hell to rescue Eurydice.
A roaring deluge of applauses followed the performance.   	Loud applause followed the performance.	We heard the roaring deluge of the river.
I was dazed by the elegance of the B&B.      	I was surprised by the elegance of the B&B.	"The gang left him dazed, bleeding."
"If this character was a real person, I'd break every bone in his body.  "	"If this character was a real person, I'd hurt him."	He managed to break every bone in his middle finger.
He's a giant with the brain of a chicken.   	He's a giant but is not intelligent.	The brain of a chicken is small.
Living with you is a rollercoaster but it's worth the thrill. 	Living with you has its ups and downs but it's worth the thrill.	I'd been yo-yoing up and down a rollercoaster.
"When your mother saw you, she was about to pass out from excitement.   "	"When your mother saw you, she was so very excited."	She felt as if she would pass out.
"My job is so boring, I want to die.   "	"My job is so boring, I don't want to do it."	Many terminally ill people want to die.
Too much work makes me feel demolished.   	Too much work makes me feel tired.	The steps at the front entrance were demolished
My paperworks piled up to the ceiling.   	My paperworks piled up high.	A gecko climbed up to the ceiling.
His shout could split rocks.     	His shout was very loud.	They learnt that explosives could split rocks.
"Trust him, he's more faithful than the rising sun.   "	"Trust him, he's faithful."	He woke up earlier than the rising sun.
Democrats and Republicans will agree on a tax reform bill when pigs will have wings! 	Democrats and Republicans will not agree on a tax reform bill!	"If pigs will have wings, I will know I have gone crazy."
"She has so many watches, she'd need eight arms to wear them all."	"She has so many watches, it's not possible to wear them all."	She'd need eight arms to mix all that dough at the same time.
Completing the puzzle took me decades.  	Completing the puzzle took me a long time.	The economic system of the last few decades has failed.
I am tormented day and night.    	I am tormented often.	The route has services day and night.
I was mortally sorry.     	I was deeply sorry.	The whales were shot and mortally wounded.
That idea is eating away at him.  	That idea makes him feel very worried.	Rust is eating away at the steel.
"As he grew, Victor became a shining star in a family of achievers.   "	"As he grew, Victor became the best amongst the family of high achievers."	The shining star over there seems to be moving.
Give a man rope enough and he will hang himself.  	Give a man rope enough and he will do very foolish things.	"The suicidal will prove his family is wrong, or he will hang himself."
Your indifference is tearing me apart.   	Your indifference is upsetting me.	That shark could be tearing me apart right now.
You hear that noise? It's ear-piercing.   	You hear that noise? It's very loud.	The alarm emits an ear-piercing a hundred fifteen decibel screech.
The ancient castle was so big that it took a week to walk from one end to the other. 	The ancient castle was so big that it took a lot of time to walk from one end to the other.	It took a week to walk from one end of the region to the other.
Your words are poison.  	Your words are very damaging.	Traces of poison were found in the bottle.
Sarah is completely lacking any sense of humor.  	Sarah does not have a good sense of humor.	The movie is completely lacking a sympathetic female presence.
Swamps of people are coming to my birthday party. 	Lots of people are coming to my birthday party.	The swamps were drained.
The blood flowing from the boy's tooth covered the tiled floor.  	The blood flowing from the boy's tooth dropped on the tiled floor.	A thin carpet covered the tile floor.
It seems to have been raining for fourty days and fourty nights. 	It seems to have been raining for a long time.	The Hebrews had traveled for fourty days and fourty nights.
The flap of skin opened like a cupboard door.      	The flap of skin opened wide.	She opened the cupboard door.
Your predictions were right. You have a third eye.  	Your predictions were right. You have great intuition.	The god Shiva uses a third eye to see beyond the apparent.
They were in a trance when arguing with that manipulator.  	They were in a daze when arguing with that manipulator.	They put the subject under trance before attempting any experimentation.
Those criminals are feasting on violence.     	Those criminals thrive on acts of violence.	The couple is feasting on a romantic dinner.
My evening jog with Bill turned into a marathon.   	My evening jog with Bill turned into a long run.	He once ran a marathon for training.
The global crisis has seen prices skyrocket over the past week. 	The global crisis has seen prices rise over the past week.	A meteor could skyrocket in the atmosphere.
The new king'll be all-time adored.   	The new king'll be adored.	It is an all-time truth that after life comes death.
There are cascades of clothes in my wardrobe!    	There are large amounts of clothes in my wardrobe!	On the way up the hill there are hidden cascades.
You will give a good first impression without a doubt.  	You will very likely give a good first impression.	I am without a doubt about the sort of assignment I have been presented with.
This is the single most important advice of your life.    	This is the really important advice of your life.	This is the single most expensive cake in the city.
Hyperbole is the greatest thing in the history of the universe.   	Hyperbole is a great thing.	Big Bang is described as the greatest explosion in the history of the universe.
The Eagle soars in the summit of the azure.     	The Eagle soars high in the sky.	"After the levelling, the summit of the hill dropped by ten metres."
"As a father, in this moment, there's just pain in my heart.  "	"As a father, in this moment, I am overwhelmed by pain."	I feel a pain in my abdomen.
Bring these vermin to the Palace of Justice.  	Bring these bad people to the Palace of Justice.	The beds were horrid filthy and full of vermin.
"Social security, health, welfare and education systems are being laid on a Procrustean bed."	"Social security, health, welfare and education systems are being held to a rigid standard."	Greek travelers were tortured on a Procrustean bed.
The secretary is a boot licking lapdog.   	The secretary is very servile.	I found the collar of the lap dog.
My dog can run faster than a thunderbolt.  	My dog can run very fast.	Sheet lightning is a brightening of the clouds rather than a thunderbolt striking the ground.
Doesn't change the fact that we're up to our necks in muck.  	Doesn't change the fact that we are in deep trouble.	We wanted to be buried up to our necks in sand.
He orders his family not to forget that he is the king of his house.   	He told his family not to forget that he is the head of his house.	Edward was the king of England.
"If Sylvia flirted with Johnny, Steve threatened to beat the living tar out of her.  "	"If Sylvia flirted with Johnny, Steve threatened to beat her."	
She was worn to a shadow after months of nursing her sick husband.  	She was weak after months of nursing her sick husband.	The image is similar to a shadow cast on the ground.
"I heard you possess eagle vision, Mister.  "	"I heard you possess good vision, Mister."	Eagle vision allows to spot prey easily.
I'm on a whisky diet. I've lost three days already.	"Because I drank so much whiskey, I do not remember the last three days."	The risk of data being lost must decrease.
"Don't touch a woman, not even with a flower. "	"Don't touch a woman, not even lightly."	"She did not decorate the garden, not even with a flower."
I thought I'd found sugar-free chocolate nirvana at first taste. 	I thought I'd found an amazing sugar-free chocolate at first taste.	One Buddhist priest claimed he went to nirvana.
It'll just - bam! - hit me like lightning. 	It'll just - bam! - hit me hard.	"This attack is like lightning, it never strikes twice in the same place."
This year the new fashion trends spread like wildfire.   	This year the new fashion trends spread quickly.	The virus spread like wildfire.
